Template,Collision success,Solved success
00000,0.0,64.0
00001,0.0,82.83
00002,0.0,86.0
00004,0.0,47.83
00006,0.0,68.0
00007,0.0,64.0
00008,0.0,42.86
00009,0.0,58.0
00011,0.0,29.0
00012,0.0,47.47
00013,0.0,38.71
00014,0.0,73.0
00015,0.0,62.0
00016,0.0,19.0
